"RefDes","Name","Value"
"C1","CAP_0805","10uF"
"C2","CAP_0805","10uF"
"C3","CAP_0805","100 nF"
"C4","CAP_0805","47 nF"
"C5","CAP_0805","100nF"
"C6","CAP_0805","100nF"
"D1","LED_3MM","Yellow"
"D2","LED_3MM","Red"
"MCU","ATMEGA328",""
"Q1","CSTCE16M0V53-RO",""
"R1","RES_0805","10K"
"R2","RES_0805","4.7K"
"R3","RES_0805","330"
"R4","RES_0805","330"
"R5","RES_0805","47K"
"R6","RK0934 Pot","0-10k"
"R7","RES_0805","150"
"R8","RES_0805","10K"
"T1","IRLML2502",""
"U1","Power Pads","+12V INPUT"
"U2","LM35DZ",""
"U3","1Pad","MISO"
"U4","Programming",""
"U5","1Pad","MOSI"
"U6","1Pad","RST"
"U7","1Pad","SCK"
"U8","Power Pads","HEATER"
"U9","MIC5205",""
"U10","1Pad","Vcc"
"U11","1Pad","Gnd"
